"Program Name","Institution Name",District,"Accredited Date","Expiry Date",Status
"Bachelor of Science in Conservation Biology","Makerere University",Kampala,19/Apr/2024,19/Apr/2029,Active
"Bachelor of Arts with Education","Makerere University",Kampala,19/Apr/2024,19/Apr/2029,Active
"Master of Science in  Biochemistry","Makerere University",Kampala,19/Apr/2024,19/Apr/2029,Active
"Master of Arts in Philosophy","Makerere University",Kampala,19/Apr/2024,19/Apr/2029,Active
"Master of Science in Applied Human Nutrition","Makerere University",Kampala,19/Apr/2024,19/Apr/2029,Active
"Master of Public Health (Full-time Programme)","Makerere University",Kampala,19/Apr/2024,19/Apr/2029,Active
"Postgraduate Diploma in Construction Project Management","Makerere University",Kampala,19/Apr/2024,19/Apr/2029,Active
"Master of Instructional Design and Technology","Makerere University",Kampala,19/Apr/2024,19/Apr/2029,Active
"Master of Arts in Religious and Theological Studies","Makerere University",Kampala,19/Apr/2024,19/Apr/2029,Active
"Bachelor of Sports Science","Makerere University",Kampala,19/Apr/2024,19/Apr/2029,Active
"Master of Public Health (Distance Education Programme)","Makerere University",Kampala,19/Apr/2024,19/Apr/2029,Active
"Bachelor of Agricultural and Rural Innovation","Makerere University",Kampala,19/Apr/2024,19/Apr/2029,Active
"Master of Science in Agroforestry and Community Development","Makerere University",Kampala,19/Apr/2024,19/Apr/2029,Active
"Master of Science in Construction Management","Makerere University",Kampala,19/Apr/2024,19/Apr/2029,Active
"Postgraduate Diploma in Medical Education","Makerere University",Kampala,19/Apr/2024,19/Apr/2029,Active
"Master of Science in Geo-Information Science and Technology Sciences","Makerere University",Kampala,19/Apr/2024,19/Apr/2029,Active
"Master of Science in Health Professions Education","Makerere University",Kampala,19/Apr/2024,19/Apr/2029,Active
"Diploma in Fine Art","Nagenda International Academy of Arts & Design (NIAAD)",Kampala,19/Apr/2024,19/Apr/2029,Active
"Diploma in Fashion and Design","Nagenda International Academy of Arts & Design (NIAAD)",Kampala,19/Apr/2024,19/Apr/2029,Active
"Bachelor of Science in Economics","Mbarara University of Science and Technology",Mbarara,19/Apr/2024,19/Apr/2029,Active
"Bachelor of Science in Software Engineering","Mbarara University of Science and Technology",Mbarara,19/Apr/2024,19/Apr/2029,Active
"Postgraduate Diploma in Information Systems","Mbarara University of Science and Technology",Mbarara,19/Apr/2024,19/Apr/2029,Active
"Diploma in Visual Communication","Artfield Institute of Design",Kampala,19/Apr/2024,19/Apr/2029,Active
"Bachelor of Science with Education- Agirculture","Uganda Martyrs University",Mpigi,19/Apr/2024,19/Apr/2029,Active
"Diploma In Computer Engineering","Busitema University, Main Campus",Busia,19/Apr/2024,19/Apr/2029,Active
"Diploma in Interior Design","Artfield Institute of Design",Kampala,19/Apr/2024,19/Apr/2029,Active
"Bachelor of Laws","Cavendish University",Kampala,19/Apr/2024,19/Apr/2029,Active
"Diploma in Agricultural Engineering","Busitema University, Main Campus",Busia,19/Apr/2024,19/Apr/2029,Active
"Diploma in Science Laboratory Technology-Biology","Busitema University, Nagongera Campus",Tororo,19/Apr/2024,19/Apr/2029,Active
"Diploma of Tourism and Travel Management","Busitema University, Pallisa Campus",Pallisa,19/Apr/2024,19/Apr/2029,Active
"Bachelor of Science in Tourism and Travel Management","Busitema University, Pallisa Campus",Pallisa,19/Apr/2024,19/Apr/2029,Active
"Bachelor of Science in Agricultural Mechanization and Irrigation Engineering","Busitema University, Main Campus",Busia,19/Apr/2024,19/Apr/2029,Active
"Bachelor of Science in Polymer,Textile and Industrial Engineering","Busitema University, Main Campus",Busia,19/Apr/2024,19/Apr/2029,Active
"Diploma in Ginning and Industrial Engineering","Busitema University, Main Campus",Busia,19/Apr/2024,19/Apr/2029,Active
"Diploma in Early Childhood Health and Development","Ernest Cook University (Formerly Ernest Cook Ultrasound Education Institute",Kampala,19/Apr/2024,19/Apr/2029,Active
"Diploma in Medical Radiography","Ernest Cook University (Formerly Ernest Cook Ultrasound Education Institute",Kampala,19/Apr/2024,19/Apr/2029,Active
"Bachelor of Science in Early Childhood Health and Development","Ernest Cook University (Formerly Ernest Cook Ultrasound Education Institute",Kampala,19/Apr/2024,19/Apr/2029,Active
"Bachelor of Science in HealthCare Administration and Management","Ernest Cook University (Formerly Ernest Cook Ultrasound Education Institute",Kampala,19/Apr/2024,19/Apr/2029,Active
"Diploma in Fisheries Management and Technologies","Fisheries Training Institute",Kampala,19/Apr/2024,19/Apr/2029,Active
"Diploma in Integrated Aquaculture and Agriculture","Fisheries Training Institute",Kampala,19/Apr/2024,19/Apr/2029,Active
"Master of Science in Zoology","Makerere University",Kampala,19/Apr/2024,19/Apr/2029,Active
"Master of Science in Physics","Makerere University",Kampala,19/Apr/2024,19/Apr/2029,Active
"Diploma in Public Administration and Management","Institute of Advanced Leadership, Uganda",Kampala,19/Apr/2024,19/Apr/2029,Active
"Diploma in Project Planning and Management","Institute of Advanced Leadership, Uganda",Kampala,19/Apr/2024,19/Apr/2029,Active
"Diploma in Information Technology","Institute of Advanced Leadership, Uganda",Kampala,19/Apr/2024,19/Apr/2029,Active
"Diploma in Procurement and Logistics Management","Institute of Advanced Leadership, Uganda",Kampala,19/Apr/2024,19/Apr/2029,Active
"Diploma in Human Resource Management","Institute of Advanced Leadership, Uganda",Kampala,19/Apr/2024,19/Apr/2029,Active
"Diploma in Business Administration","Institute of Social Work and Community Development",Kampala,19/Apr/2024,19/Apr/2029,Active
"National Diploma in Physical Planning","Institute of Survey and Land Management",Wakiso,19/Apr/2024,19/Apr/2029,Active
"Diploma in Land Management and Valuation","Institute of Survey and Land Management",Wakiso,19/Apr/2024,19/Apr/2029,Active
"Diploma in Land Survey and  Geomatics","Institute of Survey and Land Management",Wakiso,19/Apr/2024,19/Apr/2029,Active
"National Diploma in Cartography and Geo-informatics","Institute of Survey and Land Management",Wakiso,19/Apr/2024,19/Apr/2029,Active
"Bachelor of Public Administration and Management","Insan International University  (formerly Islamic Call University College)",Kampala,19/Apr/2024,19/Apr/2029,Active
"Bachelor of Business Administration and Management","Insan International University  (formerly Islamic Call University College)",Kampala,19/Apr/2024,19/Apr/2029,Active
"Diploma in Agricultural Meteorology","National Meteorological Training School",Wakiso,19/Apr/2024,19/Apr/2029,Active
"Bachelor of Education – Primary","University of Saint Joseph Mbarara (USJM)",Mbarara,19/Apr/2024,19/Apr/2029,Active
"Diploma in Human Nutrition","Ernest Cook University (Formerly Ernest Cook Ultrasound Education Institute",Kampala,19/Apr/2024,19/Apr/2029,Active
"Bachelor of Arts with Education","Uganda Christian University",Mukono,19/Apr/2024,19/Apr/2029,Active
"Diploma in Administrative and Secretarial Practice","Team University",Kampala,24/Apr/2024,24/Apr/2029,Active
"Diploma in Christian Ministry","Archbishop Janani Luwum Theological College",Gulu,25/Apr/2024,25/Apr/2029,Active
"Bachelor of Interior and Landscape Design","Kampala University",Kampala,03/Jul/2024,03/Jul/2029,Active
"Bachelor of Primary Education Religious Education","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma of Primary Education  – SST","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Literature","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Administrative and Secretarial Studies","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Interior Design","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Industrial Design","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma of Public Health","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Education Primary","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Guidance and Counselling","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Early Childhood Development","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Integrated Science","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Higher Education Certificate – Humanities","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Guidance and Counselling","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Agriculture and Community Development","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Procurement and Logistics Management","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Higher Education Access Certificate – Humanities","Limkokwing University of Creative Technology",Mukono,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Science in Digital Marketing","Limkokwing University of Creative Technology",Mukono,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Science in Internet of Things","Limkokwing University of Creative Technology",Mukono,10/Jul/2024,10/Jul/2029,Active
"Master of Mental Health Counselling","Lira University",Lira,10/Jul/2024,10/Jul/2029,Active
"Bachelors of Education with Arts with Kiswahili","Livingstone International University",Mbale,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Science in Journalism and Media Technology","Livingstone International University",Mbale,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Arts with Education","Livingstone International University",Mbale,10/Jul/2024,10/Jul/2029,Active
"Master of Science in Livestock Development and Management","Makerere University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Science in Urban Planning","Makerere University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Postgraduate Diploma in Livestock Development and Management","Makerere University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Postgraduate Applied Human Nutrition","Makerere University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Postgraduate Diploma in Gender and Local Economic Development","Makerere University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Science in Accounting and Finance","Mbarara University of Science and Technology",Mbarara,10/Jul/2024,10/Jul/2029,Active
"Master of Information Systems","Mbarara University of Science and Technology",Mbarara,10/Jul/2024,10/Jul/2029,Active
"Postgraduate Diploma in Health Services Management","Metropolitan International University (MIU)",Kisoro,10/Jul/2024,10/Jul/2029,Active
"Diploma in Microfinance","Metropolitan International University (MIU)",Kisoro,10/Jul/2024,10/Jul/2029,Active
"Master of Business Administration","Metropolitan International University (MIU)",Kisoro,10/Jul/2024,10/Jul/2029,Active
"Master of Public Administration and Management","Metropolitan International University (MIU)",Kisoro,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Microfinance","Metropolitan International University (MIU)",Kisoro,10/Jul/2024,10/Jul/2029,Active
"Postgraduate Diploma in Medical Education","Makerere University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Education","Metropolitan International University (MIU)",Kisoro,10/Jul/2024,10/Jul/2029,Active
"Master of Information Technology","Metropolitan International University (MIU)",Kisoro,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Arts in Economics","Metropolitan International University (MIU)",Kisoro,10/Jul/2024,10/Jul/2029,Active
"National Diploma in Animal Health and Husbandry","Mityana Agrovet Institute",Mityana,10/Jul/2024,10/Jul/2029,Active
"Higher Education Access Certificate – Humanities","Mountains of the Moon University",Kabarole,10/Jul/2024,10/Jul/2029,Active
"Diploma in Social Works and Social Administration","Rukungiri Institute of Management",Rukungiri,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Science in Innovative Agricultural Systems","Islamic University in Uganda",Mbale,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Human Resources Management","Islamic University in Uganda",Mbale,10/Jul/2024,10/Jul/2029,Active
"Postgraduate diploma in International Affairs and Humanitarian Diplomacy","Islamic University in Uganda",Mbale,10/Jul/2024,10/Jul/2029,Active
"Master of Science in Agri – Enterprise Development","Gulu University",Gulu,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Science in Climate Smart Agriculture","International University of East Africa",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Science in Mechatronics and Robotic","International University of East Africa",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Science in Mining Engineering","International University of East Africa",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Social Work and Social Administration","Insan International University  (formerly Islamic Call University College)",Kampala,10/Jul/2024,10/Jul/2029,Active
"Higher Education Access Certificate – Humanities","Islamic University in Uganda",Mbale,10/Jul/2024,10/Jul/2029,Active
"Master of Science in Environmental Economics","Busitema University, Namasagali Campus",Kamuli,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Education – Secondary (Food and Nutrition)","Uganda National Institute for Teacher Education (UNITE)",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Education –  Secondary (English / literature)","Uganda National Institute for Teacher Education (UNITE)",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Education –  Secondary (Performing Arts)","Uganda National Institute for Teacher Education (UNITE)",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Education –  Secondary (MATH / PE)","Uganda National Institute for Teacher Education (UNITE)",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Education –  Secondary ( ICT)","Uganda National Institute for Teacher Education (UNITE)",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of  Education (Pre-Primary)","Uganda National Institute for Teacher Education (UNITE)",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Education –  Secondary (Technology and Design)","Uganda National Institute for Teacher Education (UNITE)",Kampala,10/Jul/2024,10/Jul/2029,Active
"Postgraduate Diploma in Education","Uganda National Institute for Teacher Education (UNITE)",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Education –  Secondary (Technological Studies)","Uganda National Institute for Teacher Education (UNITE)",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Education –  Secondary (Kiswahili)","Uganda National Institute for Teacher Education (UNITE)",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Education (Pre-primary)","Uganda National Institute for Teacher Education (UNITE)",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Arts in Islamic Studies and Arabic Language","Islamic University in Uganda",Mbale,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Business Administration","Islamic University in Uganda",Mbale,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Arts in Sharia","Insan International University  (formerly Islamic Call University College)",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Procurement and Supply Chain Management","Insan International University  (formerly Islamic Call University College)",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Environmental Science","Kabale University",Kabale,10/Jul/2024,10/Jul/2029,Active
"Diploma in Environment Science","Kabale University",Kabale,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Applied Designs and Fine Art","Kabale University",Kabale,10/Jul/2024,10/Jul/2029,Active
"Diploma in Records and Archives Management","Kabale University",Kabale,10/Jul/2024,10/Jul/2029,Active
"Diploma in Computer Science","Kabale University",Kabale,10/Jul/2024,10/Jul/2029,Active
"Master of Public Health","Kabale University",Kabale,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Agriculture and Land Use Management","Kabale University",Kabale,10/Jul/2024,10/Jul/2029,Active
"PhD in Internet of Things","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Science in Agricultural Economics","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Postgraduate Diploma in Business Administration","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Science in Guidance and Counselling","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Science in Artificial Intelligence","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"PhD Science Education  (Physics, Biology and Chemistry)","Kampala International University",Kampala,10/Jul/2024,10/Jul/2034,Active
"Bachelor of Agribusiness Management and Entrepreneurship","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"PhD in Cybersecurity By Research","Kampala International University",Kampala,10/Jul/2024,10/Jul/2034,Active
"Postgraduate Diploma in Educational Management","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Education Religious Studies","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Education Religious Studies","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Fashion and Design","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Fashion and Design","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"PhD in Linguistics","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma Computer Science","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Science in Data Science and Analytics","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Science Education (Physics, Biology and Chemistry)","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Science Education (Physics, Biology and Chemistry)","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"PhD in Wildlife Management and Conservation (By Research )","Kampala International University",Kampala,10/Jul/2024,10/Jul/2034,Active
"Masters of Arts in Development Studies","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Education Geography","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Science in Mathematics","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Environmental Management","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelors of Public Health","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Science in Wildlife and Conservation Management","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Agribusiness Management and Entrepreneurship","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Arts in Project Planning and Management","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Science in Chemistry","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Library and Information Science","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Public Administration","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Environment Management","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Science in Tourism Management","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Science in Finance","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Science in Banking","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Industrial Art And Design With Education","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Entrepreneurship and Business Management","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Science in Computer Engineering","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Education in Special Needs Education","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Education Science Education","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Education Arts Secondary","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Education – Arts Primary","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Economics and Applied Statistics","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Early Childhood and Primary Education","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Early Childhood and Primary Education","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"PhD in Political Science","Kampala International University",Kampala,10/Jul/2024,10/Jul/2034,Active
"Bachelor of Arts in Economics","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Art with Education –  Fine Art Education","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Education Science Secondary","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Arts in Economic Policy and Planning","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Science in Internet of Things","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Science in Finance","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Science in Entrepreneurship","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Science in Accounting","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Science in  Cybersecurity","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Business Administration –  Finance & Banking","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Business Administration –  Finance & Accounting","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Business Administration –  Human Resource Management","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Business Administration –  Information Technology","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Business Administration – International Business","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Business Administration – International Business","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Business Administration – Management","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Business Administration – Marketing","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Special Needs Education","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Arts in History","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Agricultural Economics","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Tourism Management","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Agricultural Extension and Rural Innovation","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor Science in Digital Media and Animation","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor Science in Computer Graphics and Design","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Agribusiness Management and Entrepreneurship","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Agricultural Extension and Rural Innovation","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Science in Agricultural Economics","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Laws: (a) Commercial Law, (b) Criminal Law and Criminology, (c) Laws General, (d) Laws in Natural Resources (e) Public International law (f) International Economic and Trade (g) Banking and","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Environmental Science and Technology","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Education with Geography","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Industrial and Fine Arts","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Industrial Arts and Design with Education","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Fashion Industrial Design","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Industrial Fine Art","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Arts with Education – Religious Studies","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Industrial Art and Design with Education","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of International Relations","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Education Primary","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of English Language","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of History","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Islamic Banking","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Science in Oil and Gas Management","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Library, Archives and Records Management","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Business Management","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Medicine in Orthopaedic Surgery","Uganda Martyrs University",Mpigi,10/Jul/2024,10/Jul/2029,Active
"Master of Medicine in Radiology","Uganda Martyrs University",Mpigi,10/Jul/2024,10/Jul/2029,Active
"Master of Science in Information Systems","Uganda Martyrs University",Mpigi,10/Jul/2024,10/Jul/2029,Active
"Master of Science in ICT Architecture Design and Management","Uganda Martyrs University",Mpigi,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Medical Laboratory Technology","Uganda Martyrs University",Mpigi,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Arts in Fashion and Textile Design","Uganda Martyrs University",Mpigi,10/Jul/2024,10/Jul/2029,Active
"Higher Education Access Certificate – Humanities","University of Kisubi",Wakiso,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Science in Agriculture","Valley University of Science & Technology",Bushenyi,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Science with Education – Agriculture","Valley University of Science & Technology",Bushenyi,10/Jul/2024,10/Jul/2029,Active
"Master of Business Administration","Valley University of Science & Technology",Bushenyi,10/Jul/2024,10/Jul/2029,Active
"Master of Public Administration","Valley University of Science & Technology",Bushenyi,10/Jul/2024,10/Jul/2029,Active
"Diploma in Public Administration and Management","Valley University of Science & Technology",Bushenyi,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Laws","Victoria University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Events and Hospitality Management","Victoria University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Events and Hospitality Management","Victoria University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Postgraduate Diploma in Organisational Transformation and Development","Uganda Management Institute",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Public Procurement Management","Uganda Management Institute",Kampala,10/Jul/2024,10/Jul/2029,Active
"Postgraduate Diploma in Monitoring and Evaluation","Team University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Science in Procurement and Logistics Management","Team University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Development Studies","Team University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Business and Financial Technology","Uganda Institute of Information and Communications Technology",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Software Engineering","Uganda Institute of Information and Communications Technology",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Business Computing","Uganda Institute of Information and Communications Technology",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Data Science, Analytics and Management","Uganda Institute of Information and Communications Technology",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in e-Governance and Digital Transformation","Uganda Institute of Information and Communications Technology",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Medical Education","St. Francis School of Health Sciences",Mukono,10/Jul/2024,10/Jul/2029,Active
"Diploma in Health promotion and Education","St. Francis School of Health Sciences",Mukono,10/Jul/2024,10/Jul/2029,Active
"Diploma in Medical Records and informatics","St. Francis School of Health Sciences",Mukono,10/Jul/2024,10/Jul/2029,Active
"Diploma in Healthcare Leadership and Management","St. Francis School of Health Sciences",Mukono,10/Jul/2024,10/Jul/2029,Active
"Diploma in Early childhood health and Development","St. Francis School of Health Sciences",Mukono,10/Jul/2024,10/Jul/2029,Active
"Diploma in Health Counselling and Social care","St. Francis School of Health Sciences",Mukono,10/Jul/2024,10/Jul/2029,Active
"Diploma in Health Service management","St. Francis School of Health Sciences",Mukono,10/Jul/2024,10/Jul/2029,Active
"Diploma in Clinical and Community Nutrition","St. Francis School of Health Sciences",Mukono,10/Jul/2024,10/Jul/2029,Active
"Higher Education Access Certificate – Physical Sciences","Soroti University",Soroti,10/Jul/2024,10/Jul/2029,Active
"Higher Education Access Certificate – Biological Science","Soroti University",Soroti,10/Jul/2024,10/Jul/2029,Active
"Diploma in Accounting and Finance","African College of Commerce and Technology",Kabale,10/Jul/2024,10/Jul/2029,Active
"Diploma in Tailoring, Fashion and Design","African College of Commerce and Technology",Kabale,10/Jul/2024,10/Jul/2029,Active
"Diploma in Secretarial and Office Management","African College of Commerce and Technology",Kabale,10/Jul/2024,10/Jul/2029,Active
